time,gauge-1,gauge-2,gauge-3,gauge-4,gauge-5,gauge-6,gauge-7
2025-06-02 13:09:49,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-02 13:11:35,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-02 13:12:36,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-02 13:17:05,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-02 13:24:48,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-02 18:27:52,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-02 18:39:20,88.85988828936793,185.54252933613498,347.8125613953125,56.26404635936587,1574.1599692417167,158.56534639538356,295
2025-06-03 13:19:27,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-03 14:07:32,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-03 14:12:36,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:32:54,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:37:07,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:49:51,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:49:57,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:03,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:08,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:13,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:18,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:24,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:29,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:34,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:39,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
2025-06-04 18:50:55,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,Unable to read - Processing error,unable to read file
